currencyCode,unitPrice,location,effectiveStartDate,meterName,productName,serviceName,unitOfMeasure,type,reservationTerm,armSkuName,isPrimaryMeterRegion,CPU-cores
EUR,0.8034,DE North,2023-09-01T00:00:00Z,B32s v2 Low Priority,Bsv2 Series Cloud Services,Virtual Machines,1 Hour,Consumption,,Standard_B32s_v2,True,32.0
EUR,1.893,DE North,2024-05-01T00:00:00Z,E96bds v5 Spot,Virtual Machines Ebdsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E96bds_v5,True,96.0
EUR,1.3964,DE North,2024-05-01T00:00:00Z,E96bds v5 Spot,Virtual Machines Ebdsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E96bds_v5,True,96.0
EUR,0.2428,DE North,2024-05-01T00:00:00Z,E16as v5 Spot,Virtual Machines Easv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E16as_v5,True,16.0
EUR,0.1601,DE North,2024-05-01T00:00:00Z,E16as v5 Spot,Virtual Machines Easv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E16as_v5,True,16.0
EUR,0.3266,DE West Central,2023-06-01T00:00:00Z,D64pds v5 Spot,Virtual Machines Dpdsv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_D64pds_v5,True,64.0
EUR,1.1499,DE West Central,2023-08-01T00:00:00Z,M64s Spot,Virtual Machines MS Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_M64s,True,64.0
EUR,2.1704,DE North,2023-10-01T00:00:00Z,DC48s_v3 Low Priority,DCsv3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_DC48s_v3,True,48.0
EUR,0.6723,DE North,2023-10-01T00:00:00Z,DC48s_v3 Low Priority,DCsv3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_DC48s_v3,True,48.0
EUR,1.1404,DE North,2024-05-01T00:00:00Z,E64ds v5 Spot,Virtual Machines Edsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E64ds_v5,True,64.0
EUR,0.8093,DE North,2024-05-01T00:00:00Z,E64ds v5 Spot,Virtual Machines Edsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E64ds_v5,True,64.0
EUR,0.1695,DE West Central,2023-01-01T00:00:00Z,D2plds v5,Virtual Machines Dpldsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D2plds_v5,True,2.0
EUR,0.0833,DE West Central,2023-01-01T00:00:00Z,D2plds v5,Virtual Machines Dpldsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D2plds_v5,True,2.0
EUR,0.294,DE West Central,2023-11-01T00:00:00Z,DC8ascc v5 Low Priority,Virtual Machines DCasccv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_DC8as_cc_v5,True,8.0
EUR,0.0779,DE West Central,2023-11-01T00:00:00Z,DC8ascc v5 Low Priority,Virtual Machines DCasccv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_DC8as_cc_v5,True,8.0
EUR,0.2041,DE West Central,2023-10-01T00:00:00Z,DC16ds_v3 Low Priority,DCdsv3 Series Linux,Virtual Machines,1 Hour,Consumption,,Standard_DC16ds_v3,True,16.0
EUR,0.6807,DE North,2023-10-01T00:00:00Z,D16as v5 Low Priority,Dasv5 Series Cloud Services,Virtual Machines,1 Hour,Consumption,,Standard_D16as_v5,True,16.0
EUR,0.6442,DE West Central,2023-07-01T00:00:00Z,B16ps v2,Virtual Machines Bpsv2 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_B16ps_v2,True,16.0
EUR,0.5749,DE West Central,2023-07-01T00:00:00Z,B16ps v2,Virtual Machines Bpsv2 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_B16ps_v2,True,16.0
EUR,0.3596,DE West Central,2023-09-01T00:00:00Z,B32s v2 Spot,Virtual Machines Bsv2 Series,Virtual Machines,1 Hour,Consumption,,Standard_B32s_v2,True,32.0
EUR,0.0858,DE West Central,2023-08-01T00:00:00Z,EC2as_v5 Low Priority,ECasv5-series Windows,Virtual Machines,1 Hour,Consumption,,Standard_EC2as_v5,True,2.0
EUR,0.0257,DE West Central,2023-08-01T00:00:00Z,EC2as_v5 Low Priority,ECasv5-series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_EC2as_v5,True,2.0
EUR,1.1946,DE West Central,2023-08-01T00:00:00Z,E96iads v5 Spot,Virtual Machines Eadsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E96iads_v5,True,96.0
EUR,1.5581,DE West Central,2024-04-01T00:00:00Z,D32as v4,Virtual Machines Dasv4 Series,Virtual Machines,1 Hour,Consumption,,Standard_D32as_v4,False,32.0
EUR,0.1142,DE West Central,2023-09-01T00:00:00Z,B16als v2 Low Priority,Virtual Machines Basv2 Series,Virtual Machines,1 Hour,Consumption,,Standard_B16als_v2,True,16.0
EUR,0.2171,DE North,2024-05-01T00:00:00Z,D16s v4 Spot,Virtual Machines Dsv4 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D16s_v4,True,16.0
EUR,0.1344,DE North,2024-05-01T00:00:00Z,D16s v4 Spot,Virtual Machines Dsv4 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D16s_v4,True,16.0
EUR,0.7434,DE North,2024-03-01T00:00:00Z,A8 v2,Virtual Machines Av2 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_A8_v2,True,
EUR,0.3989,DE North,2024-03-01T00:00:00Z,A8 v2,Virtual Machines Av2 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_A8_v2,True,
EUR,2.7594,DE West Central,2023-09-01T00:00:00Z,NV72ads A10 v5 Spot,Virtual Machines NVadsA10v5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_NV72ads_A10_v5,True,72.0
EUR,1.9841,DE West Central,2023-09-01T00:00:00Z,NV72ads A10 v5 Spot,Virtual Machines NVadsA10v5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_NV72ads_A10_v5,True,72.0
EUR,0.0551,DE West Central,2024-04-01T00:00:00Z,D4as v4 Spot,Virtual Machines Dasv4 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D4as_v4,True,4.0
EUR,0.0195,DE West Central,2024-04-01T00:00:00Z,D4as v4 Spot,Virtual Machines Dasv4 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D4as_v4,True,4.0
EUR,0.4342,DE North,2024-05-01T00:00:00Z,D32-8s v3 Spot,Virtual Machines DSv3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D32-8s_v3,True,8.0
EUR,0.2688,DE North,2024-05-01T00:00:00Z,D32-8s v3 Spot,Virtual Machines DSv3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D32-8s_v3,True,8.0
EUR,0.26,DE West Central,2023-10-01T00:00:00Z,E32-16ds v5 Spot,Virtual Machines Edsv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_E32-16ds_v5,True,16.0
EUR,2.265,DE West Central,2023-04-01T00:00:00Z,D64ls v5 Low Priority,Virtual Machines Dlsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D64ls_v5,True,64.0
EUR,0.5815,DE West Central,2023-04-01T00:00:00Z,D64ls v5 Low Priority,Virtual Machines Dlsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D64ls_v5,True,64.0
EUR,0.6512,DE North,2024-05-01T00:00:00Z,DC48s_v3 Spot,DCsv3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_DC48s_v3,True,48.0
EUR,0.4031,DE North,2024-05-01T00:00:00Z,DC48s_v3 Spot,DCsv3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_DC48s_v3,True,48.0
EUR,0.2753,DE West Central,2023-01-01T00:00:00Z,D8ps v5 Low Priority,Virtual Machines Dpsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D8ps_v5,True,8.0
EUR,0.0689,DE West Central,2023-01-01T00:00:00Z,D8ps v5 Low Priority,Virtual Machines Dpsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D8ps_v5,True,8.0
EUR,4529.0262,DE West Central,2024-03-01T00:00:00Z,I1 v2 App,Azure App Service Isolated v2 Plan - Linux,Azure App Service,1 Hour,Reservation,3 Years,App_Service_I1_v2_linux,True,
EUR,0.4031,DE North,2024-05-01T00:00:00Z,D48 v5 Spot,Virtual Machines Dv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_D48_v5,True,
EUR,0.0946,DE North,2023-04-01T00:00:00Z,D8ls v5 Low Priority,Virtual Machines Dlsv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_D8ls_v5,True,8.0
EUR,0.2277,DE West Central,2023-12-01T00:00:00Z,E32s v3 Spot,Virtual Machines ESv3 Series,Virtual Machines,1 Hour,Consumption,,Standard_E32s_v3,True,32.0
EUR,0.5375,DE North,2024-05-01T00:00:00Z,D64 v3/D64s v3 Spot,Virtual Machines Dv3 Series,Virtual Machines,1 Hour,Consumption,,Standard_D64_v3,True,64.0
EUR,3.5403,DE North,2023-04-01T00:00:00Z,D32lds v5,Virtual Machines Dldsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D32lds_v5,True,32.0
EUR,2.162,DE North,2023-04-01T00:00:00Z,D32lds v5,Virtual Machines Dldsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D32lds_v5,True,32.0
EUR,0.8212,DE West Central,2023-11-01T00:00:00Z,EC64ascc v5 Low Priority,Virtual Machines ECasccv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_EC64as_cc_v5,True,64.0
EUR,0.3118,DE West Central,2024-04-01T00:00:00Z,D32a v4/D32as v4 Low Priority,Virtual Machines Dav4 Series,Virtual Machines,1 Hour,Consumption,,Standard_D32a_v4,True,32.0
EUR,0.1243,DE West Central,2023-09-01T00:00:00Z,D14 v2/DS14 v2 Spot,Virtual Machines Dv2 Series,Virtual Machines,1 Hour,Consumption,,Standard_D14_v2,True,
EUR,0.658,DE West Central,2023-12-01T00:00:00Z,E64s v3 Spot,Virtual Machines ESv3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E64s_v3,True,64.0
EUR,0.4099,DE West Central,2023-12-01T00:00:00Z,E64s v3 Spot,Virtual Machines ESv3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E64s_v3,True,64.0
EUR,0.5019,DE North,2023-09-01T00:00:00Z,B32s v2 Spot,Virtual Machines Bsv2 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_B32s_v2,True,32.0
EUR,0.4675,DE North,2023-09-01T00:00:00Z,B32s v2 Spot,Virtual Machines Bsv2 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_B32s_v2,True,32.0
EUR,0.0924,DE North,2024-05-01T00:00:00Z,E8ads v5 Spot,Virtual Machines Eadsv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_E8ads_v5,True,8.0
EUR,0.3431,DE West Central,2023-08-01T00:00:00Z,E32-16as v5 Spot,Virtual Machines Easv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E32-16as_v5,True,16.0
EUR,0.1939,DE North,2024-05-01T00:00:00Z,D14 v2/DS14 v2 Spot,Virtual Machines Dv2 Series,Virtual Machines,1 Hour,Consumption,,Standard_D14_v2,True,
EUR,0.4204,DE North,2023-09-01T00:00:00Z,B8as v2,Virtual Machines Basv2 Series,Virtual Machines,1 Hour,Consumption,,Standard_B8as_v2,True,8.0
EUR,2174.1573,DE North,2023-09-01T00:00:00Z,B8as v2,Virtual Machines Basv2 Series,Virtual Machines,1 Hour,Reservation,1 Year,Standard_B8as_v2,True,8.0
EUR,4201.3109,DE North,2023-09-01T00:00:00Z,B8as v2,Virtual Machines Basv2 Series,Virtual Machines,1 Hour,Reservation,3 Years,Standard_B8as_v2,True,8.0
EUR,0.7104,DE North,2024-05-01T00:00:00Z,E64as v4 Spot,Virtual Machines Easv4 Series,Virtual Machines,1 Hour,Consumption,,Standard_E64as_v4,True,64.0
EUR,2.7228,DE North,2023-10-01T00:00:00Z,D64as v5 Low Priority,Dasv5 Series Cloud Services,Virtual Machines,1 Hour,Consumption,,Standard_D64as_v5,True,64.0
EUR,1.0657,DE North,2024-05-01T00:00:00Z,E96-24s v5 Spot,Virtual Machines Esv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_E96-24s_v5,True,24.0
EUR,1.1236,DE West Central,2023-08-01T00:00:00Z,E96ads v5 Spot,Virtual Machines Eadsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E96ads_v5,True,96.0
